I, [2024-11-02T14:50:33.139619 #66487]  INFO -- : Application started
I, [2024-11-06T10:59:06.736314 #38060]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 69911 Balistreri Courts, Wisokytown, MS 18414-5144
I, [2024-11-06T10:59:06.736427 #38060]  INFO -- : Added item: Оренда: Ціна: 18619 грн, Адреса: 69911 Balistreri Courts, Wisokytown, MS 18414-5144, Площа: 140 м², Кімнат: 1, Зображення: images/est.jpg
I, [2024-11-06T10:59:06.737337 #38060]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 421 7438 Meredith Parks, New Stanton, WY 43963-3142
I, [2024-11-06T10:59:06.737630 #38060]  INFO -- : Added item: Оренда: Ціна: 13088 грн, Адреса: Apt. 421 7438 Meredith Parks, New Stanton, WY 43963-3142, Площа: 183 м², Кімнат: 1, Зображення: images/sequi.jpg
I, [2024-11-06T10:59:06.737723 #38060]  INFO -- : Generated 10 test items
I, [2024-11-06T10:59:06.749175 #38060]  INFO -- : Saved items to output/items.txt
I, [2024-11-06T10:59:06.749828 #38060]  INFO -- : Saved items to output/items.csv
I, [2024-11-06T10:59:06.750289 #38060]  INFO -- : Saved items to output/items.json
I, [2024-11-06T10:59:06.763749 #38060]  INFO -- : Saved items to output/items_yml as YAML files
I, [2024-11-06T11:02:15.153020 #50004]  INFO -- : Application started
I, [2024-11-06T11:02:16.271522 #50004]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 3403 Yuriko Pass, Port Edward, WY 28900
I, [2024-11-06T11:02:16.271851 #50004]  INFO -- : Створено об'єкт RentalItem: Оренда: Ціна: 6713 грн, Адреса: 3403 Yuriko Pass, Port Edward, WY 28900, Площа: 94 м², Кімнат: 5, Зображення: images/ut.jpg
I, [2024-11-06T11:02:16.273147 #50004]  INFO -- : Initialized Cart instance with output directory: output
I, [2024-11-06T11:02:16.273872 #50004]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 967 Spinka Walk, Lake Randolphland, NM 87834
I, [2024-11-06T11:02:16.274148 #50004]  INFO -- : Added item: Оренда: Ціна: 15861 грн, Адреса: 967 Spinka Walk, Lake Randolphland, NM 87834, Площа: 160 м², Кімнат: 1, Зображення: images/qui.jpg
I, [2024-11-06T11:02:16.274885 #50004]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 934 40914 Murray Parkways, Rippinchester, VA 97503
I, [2024-11-06T11:02:16.275153 #50004]  INFO -- : Added item: Оренда: Ціна: 9649 грн, Адреса: Apt. 934 40914 Murray Parkways, Rippinchester, VA 97503, Площа: 30 м², Кімнат: 5, Зображення: images/at.jpg
I, [2024-11-06T11:02:16.275803 #50004]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 13579 Keebler Bypass, North Valentine, MT 60337-9694
I, [2024-11-06T11:02:16.276055 #50004]  INFO -- : Added item: Оренда: Ціна: 6407 грн, Адреса: 13579 Keebler Bypass, North Valentine, MT 60337-9694, Площа: 66 м², Кімнат: 1, Зображення: images/occaecati.jpg
I, [2024-11-06T11:02:16.276866 #50004]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 2423 Kathryn Forge, North Despina, RI 80497-6346
I, [2024-11-06T11:02:16.277115 #50004]  INFO -- : Added item: Оренда: Ціна: 19159 грн, Адреса: 2423 Kathryn Forge, North Despina, RI 80497-6346, Площа: 69 м², Кімнат: 4, Зображення: images/ea.jpg
I, [2024-11-06T11:02:16.277824 #50004]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 761 Cronin Port, Myriamchester, DE 43577
I, [2024-11-06T11:02:16.278240 #50004]  INFO -- : Added item: Оренда: Ціна: 11722 грн, Адреса: 761 Cronin Port, Myriamchester, DE 43577, Площа: 135 м², Кімнат: 2, Зображення: images/reiciendis.jpg
I, [2024-11-06T11:02:16.279142 #50004]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Suite 784 292 Jonie Meadow, North Molliebury, OK 14977
I, [2024-11-06T11:02:16.279452 #50004]  INFO -- : Added item: Оренда: Ціна: 13596 грн, Адреса: Suite 784 292 Jonie Meadow, North Molliebury, OK 14977, Площа: 78 м², Кімнат: 3, Зображення: images/cumque.jpg
I, [2024-11-06T11:02:16.280380 #50004]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 8617 Alphonso Course, Orenview, GA 78892-3819
I, [2024-11-06T11:02:16.280705 #50004]  INFO -- : Added item: Оренда: Ціна: 13176 грн, Адреса: 8617 Alphonso Course, Orenview, GA 78892-3819, Площа: 73 м², Кімнат: 1, Зображення: images/laudantium.jpg
I, [2024-11-06T11:02:16.281976 #50004]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 180 Daren Crescent, Port Madelinemouth, MN 77586-5291
I, [2024-11-06T11:02:16.282198 #50004]  INFO -- : Added item: Оренда: Ціна: 8597 грн, Адреса: 180 Daren Crescent, Port Madelinemouth, MN 77586-5291, Площа: 155 м², Кімнат: 1, Зображення: images/qui.jpg
I, [2024-11-06T11:02:16.282848 #50004]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 7551 Batz River, Kemmerborough, IL 63716
I, [2024-11-06T11:02:16.283039 #50004]  INFO -- : Added item: Оренда: Ціна: 17702 грн, Адреса: 7551 Batz River, Kemmerborough, IL 63716, Площа: 167 м², Кімнат: 5, Зображення: images/ab.jpg
I, [2024-11-06T11:02:16.283763 #50004]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Suite 571 49558 Denny Park, Brakusberg, IA 07726
I, [2024-11-06T11:02:16.283950 #50004]  INFO -- : Added item: Оренда: Ціна: 19316 грн, Адреса: Suite 571 49558 Denny Park, Brakusberg, IA 07726, Площа: 137 м², Кімнат: 4, Зображення: images/consequuntur.jpg
I, [2024-11-06T11:02:16.284141 #50004]  INFO -- : Generated 10 test items
I, [2024-11-06T11:02:16.293794 #50004]  INFO -- : Saved items to output/items.txt
I, [2024-11-06T11:02:16.294359 #50004]  INFO -- : Saved items to output/items.csv
I, [2024-11-06T11:02:16.294651 #50004]  INFO -- : Saved items to output/items.json
I, [2024-11-06T11:02:16.298850 #50004]  INFO -- : Saved items to output/items_yml as YAML files
I, [2024-11-06T11:02:19.804391 #50004]  INFO -- : Application started
I, [2024-11-06T11:02:19.817703 #50004]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 421 Augusta Key, Lake Osvaldo, MO 74198
I, [2024-11-06T11:02:19.818138 #50004]  INFO -- : Створено об'єкт RentalItem: Оренда: Ціна: 10917 грн, Адреса: 421 Augusta Key, Lake Osvaldo, MO 74198, Площа: 99 м², Кімнат: 5, Зображення: images/voluptas.jpg
I, [2024-11-06T11:02:19.820043 #50004]  INFO -- : Initialized Cart instance with output directory: output
I, [2024-11-06T11:02:19.821651 #50004]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Suite 967 7516 Darnell Course, O'Keefefort, ME 93334
I, [2024-11-06T11:02:19.822013 #50004]  INFO -- : Added item: Оренда: Ціна: 12529 грн, Адреса: Suite 967 7516 Darnell Course, O'Keefefort, ME 93334, Площа: 86 м², Кімнат: 3, Зображення: images/est.jpg
I, [2024-11-06T11:02:19.824181 #50004]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 199 Sanford Coves, South Seanfurt, IA 89383
I, [2024-11-06T11:02:19.824496 #50004]  INFO -- : Added item: Оренда: Ціна: 8431 грн, Адреса: 199 Sanford Coves, South Seanfurt, IA 89383, Площа: 115 м², Кімнат: 1, Зображення: images/ea.jpg
I, [2024-11-06T11:02:19.827231 #50004]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 614 Karma Dale, Larryhaven, ME 46771
I, [2024-11-06T11:02:19.827531 #50004]  INFO -- : Added item: Оренда: Ціна: 14013 грн, Адреса: 614 Karma Dale, Larryhaven, ME 46771, Площа: 104 м², Кімнат: 4, Зображення: images/quasi.jpg
I, [2024-11-06T11:02:19.829317 #50004]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 222 133 Fleta Causeway, East Reaganport, NM 96463-2243
I, [2024-11-06T11:02:19.829574 #50004]  INFO -- : Added item: Оренда: Ціна: 7911 грн, Адреса: Apt. 222 133 Fleta Causeway, East Reaganport, NM 96463-2243, Площа: 85 м², Кімнат: 5, Зображення: images/esse.jpg
I, [2024-11-06T11:02:19.830590 #50004]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Suite 121 14532 Vandervort Hollow, Alinetown, VT 01532-0789
I, [2024-11-06T11:02:19.830838 #50004]  INFO -- : Added item: Оренда: Ціна: 10910 грн, Адреса: Suite 121 14532 Vandervort Hollow, Alinetown, VT 01532-0789, Площа: 174 м², Кімнат: 1, Зображення: images/sint.jpg
I, [2024-11-06T11:02:19.831755 #50004]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 337 602 Pearly Locks, Port Kasandraville, IL 12803
I, [2024-11-06T11:02:19.831913 #50004]  INFO -- : Added item: Оренда: Ціна: 13788 грн, Адреса: Apt. 337 602 Pearly Locks, Port Kasandraville, IL 12803, Площа: 155 м², Кімнат: 1, Зображення: images/optio.jpg
I, [2024-11-06T11:02:19.832962 #50004]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Suite 190 46775 Rempel Walks, Claystad, ME 32515-6526
I, [2024-11-06T11:02:19.833153 #50004]  INFO -- : Added item: Оренда: Ціна: 10310 грн, Адреса: Suite 190 46775 Rempel Walks, Claystad, ME 32515-6526, Площа: 169 м², Кімнат: 5, Зображення: images/dicta.jpg
I, [2024-11-06T11:02:19.834514 #50004]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 6614 Caprice Junction, North Kentburgh, NJ 51693
I, [2024-11-06T11:02:19.834860 #50004]  INFO -- : Added item: Оренда: Ціна: 14454 грн, Адреса: 6614 Caprice Junction, North Kentburgh, NJ 51693, Площа: 85 м², Кімнат: 4, Зображення: images/ducimus.jpg
I, [2024-11-06T11:02:19.835738 #50004]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 26656 Arturo Gardens, Lake Janellaberg, SC 46195
I, [2024-11-06T11:02:19.835850 #50004]  INFO -- : Added item: Оренда: Ціна: 19840 грн, Адреса: 26656 Arturo Gardens, Lake Janellaberg, SC 46195, Площа: 171 м², Кімнат: 5, Зображення: images/pariatur.jpg
I, [2024-11-06T11:02:19.836515 #50004]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 165 38162 Tricia Burgs, Dominiquebury, OK 32689-0609
I, [2024-11-06T11:02:19.836593 #50004]  INFO -- : Added item: Оренда: Ціна: 15220 грн, Адреса: Apt. 165 38162 Tricia Burgs, Dominiquebury, OK 32689-0609, Площа: 137 м², Кімнат: 1, Зображення: images/nihil.jpg
I, [2024-11-06T11:02:19.836696 #50004]  INFO -- : Generated 10 test items
I, [2024-11-06T11:02:19.843933 #50004]  INFO -- : Saved items to output/items.txt
I, [2024-11-06T11:02:19.845117 #50004]  INFO -- : Saved items to output/items.csv
I, [2024-11-06T11:02:19.845703 #50004]  INFO -- : Saved items to output/items.json
I, [2024-11-06T11:02:19.850081 #50004]  INFO -- : Saved items to output/items_yml as YAML files
I, [2024-11-06T11:02:38.939726 #50492]  INFO -- : Application started
I, [2024-11-06T11:02:40.034384 #50492]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 29678 Schinner Ports, North Maxwell, MN 13787
I, [2024-11-06T11:02:40.034753 #50492]  INFO -- : Створено об'єкт RentalItem: Оренда: Ціна: 18595 грн, Адреса: 29678 Schinner Ports, North Maxwell, MN 13787, Площа: 119 м², Кімнат: 5, Зображення: images/maxime.jpg
I, [2024-11-06T11:02:40.036135 #50492]  INFO -- : Initialized Cart instance with output directory: output
I, [2024-11-06T11:02:40.037027 #50492]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 672 Janis Park, North Irish, GA 35462
I, [2024-11-06T11:02:40.037270 #50492]  INFO -- : Added item: Оренда: Ціна: 17329 грн, Адреса: 672 Janis Park, North Irish, GA 35462, Площа: 40 м², Кімнат: 4, Зображення: images/architecto.jpg
I, [2024-11-06T11:02:40.038065 #50492]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 323 64920 Terresa Summit, Pacochaport, DE 25772
I, [2024-11-06T11:02:40.038375 #50492]  INFO -- : Added item: Оренда: Ціна: 17680 грн, Адреса: Apt. 323 64920 Terresa Summit, Pacochaport, DE 25772, Площа: 142 м², Кімнат: 2, Зображення: images/dolores.jpg
I, [2024-11-06T11:02:40.038995 #50492]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 547 Rutherford Plains, Louiefurt, LA 52158
I, [2024-11-06T11:02:40.039266 #50492]  INFO -- : Added item: Оренда: Ціна: 16237 грн, Адреса: 547 Rutherford Plains, Louiefurt, LA 52158, Площа: 91 м², Кімнат: 4, Зображення: images/velit.jpg
I, [2024-11-06T11:02:40.039993 #50492]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 650 39708 Brown Hills, Dominiqueport, IN 97544
I, [2024-11-06T11:02:40.040261 #50492]  INFO -- : Added item: Оренда: Ціна: 10655 грн, Адреса: Apt. 650 39708 Brown Hills, Dominiqueport, IN 97544, Площа: 182 м², Кімнат: 2, Зображення: images/in.jpg
I, [2024-11-06T11:02:40.040991 #50492]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Suite 283 2301 Adrian Shores, Manview, MA 70697
I, [2024-11-06T11:02:40.041214 #50492]  INFO -- : Added item: Оренда: Ціна: 19475 грн, Адреса: Suite 283 2301 Adrian Shores, Manview, MA 70697, Площа: 74 м², Кімнат: 1, Зображення: images/quaerat.jpg
I, [2024-11-06T11:02:40.041899 #50492]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 73061 Champlin Wall, West Bernardashire, ND 82070
I, [2024-11-06T11:02:40.042078 #50492]  INFO -- : Added item: Оренда: Ціна: 19824 грн, Адреса: 73061 Champlin Wall, West Bernardashire, ND 82070, Площа: 64 м², Кімнат: 5, Зображення: images/optio.jpg
I, [2024-11-06T11:02:40.042954 #50492]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 729 6760 Runolfsson Vista, Lake Onie, IN 31815-3928
I, [2024-11-06T11:02:40.043215 #50492]  INFO -- : Added item: Оренда: Ціна: 5703 грн, Адреса: Apt. 729 6760 Runolfsson Vista, Lake Onie, IN 31815-3928, Площа: 123 м², Кімнат: 3, Зображення: images/dolores.jpg
I, [2024-11-06T11:02:40.043909 #50492]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 7286 Paul Union, Port Stephanbury, OH 65171
I, [2024-11-06T11:02:40.044081 #50492]  INFO -- : Added item: Оренда: Ціна: 17030 грн, Адреса: 7286 Paul Union, Port Stephanbury, OH 65171, Площа: 113 м², Кімнат: 2, Зображення: images/eius.jpg
I, [2024-11-06T11:02:40.044703 #50492]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 362 3310 Jetta Summit, Creminmouth, KY 94988
I, [2024-11-06T11:02:40.044915 #50492]  INFO -- : Added item: Оренда: Ціна: 6330 грн, Адреса: Apt. 362 3310 Jetta Summit, Creminmouth, KY 94988, Площа: 181 м², Кімнат: 2, Зображення: images/veniam.jpg
I, [2024-11-06T11:02:40.045823 #50492]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Suite 963 6901 Rutherford Ford, Synthiastad, OK 21141-4531
I, [2024-11-06T11:02:40.046217 #50492]  INFO -- : Added item: Оренда: Ціна: 18744 грн, Адреса: Suite 963 6901 Rutherford Ford, Synthiastad, OK 21141-4531, Площа: 100 м², Кімнат: 3, Зображення: images/aperiam.jpg
I, [2024-11-06T11:02:40.046445 #50492]  INFO -- : Generated 10 test items
I, [2024-11-06T11:02:40.055867 #50492]  INFO -- : Saved items to output/items.txt
I, [2024-11-06T11:02:40.056670 #50492]  INFO -- : Saved items to output/items.csv
I, [2024-11-06T11:02:40.057153 #50492]  INFO -- : Saved items to output/items.json
I, [2024-11-06T11:02:40.061463 #50492]  INFO -- : Saved items to output/items_yml as YAML files
I, [2024-11-06T11:02:43.430226 #50492]  INFO -- : Application started
I, [2024-11-06T11:02:43.444392 #50492]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 795 Runolfsson Ville, Port Sidneyside, TN 62692
I, [2024-11-06T11:02:43.444845 #50492]  INFO -- : Створено об'єкт RentalItem: Оренда: Ціна: 16945 грн, Адреса: 795 Runolfsson Ville, Port Sidneyside, TN 62692, Площа: 148 м², Кімнат: 3, Зображення: images/veniam.jpg
I, [2024-11-06T11:02:43.446639 #50492]  INFO -- : Initialized Cart instance with output directory: output
I, [2024-11-06T11:02:43.448593 #50492]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Apt. 831 27625 Evelyn Oval, West Dwayne, MT 69297
I, [2024-11-06T11:02:43.448975 #50492]  INFO -- : Added item: Оренда: Ціна: 8561 грн, Адреса: Apt. 831 27625 Evelyn Oval, West Dwayne, MT 69297, Площа: 186 м², Кімнат: 2, Зображення: images/qui.jpg
I, [2024-11-06T11:02:43.451768 #50492]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 66579 Rebekah Island, Port Joella, VA 80807
I, [2024-11-06T11:02:43.452486 #50492]  INFO -- : Added item: Оренда: Ціна: 18711 грн, Адреса: 66579 Rebekah Island, Port Joella, VA 80807, Площа: 185 м², Кімнат: 1, Зображення: images/modi.jpg
I, [2024-11-06T11:02:43.454133 #50492]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 26171 Stracke Point, Johnsonfurt, LA 81314-6840
I, [2024-11-06T11:02:43.454479 #50492]  INFO -- : Added item: Оренда: Ціна: 7397 грн, Адреса: 26171 Stracke Point, Johnsonfurt, LA 81314-6840, Площа: 121 м², Кімнат: 3, Зображення: images/quam.jpg
I, [2024-11-06T11:02:43.455542 #50492]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 1122 Robel Rue, North Dee, CO 88898-3429
I, [2024-11-06T11:02:43.455875 #50492]  INFO -- : Added item: Оренда: Ціна: 8985 грн, Адреса: 1122 Robel Rue, North Dee, CO 88898-3429, Площа: 170 м², Кімнат: 2, Зображення: images/ea.jpg
I, [2024-11-06T11:02:43.457160 #50492]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 5903 Rema Freeway, Flatleyside, AR 88977
I, [2024-11-06T11:02:43.457486 #50492]  INFO -- : Added item: Оренда: Ціна: 12309 грн, Адреса: 5903 Rema Freeway, Flatleyside, AR 88977, Площа: 79 м², Кімнат: 1, Зображення: images/aliquid.jpg
I, [2024-11-06T11:02:43.458773 #50492]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 3800 Schinner Terrace, North Booker, AL 82904-3150
I, [2024-11-06T11:02:43.459042 #50492]  INFO -- : Added item: Оренда: Ціна: 9216 грн, Адреса: 3800 Schinner Terrace, North Booker, AL 82904-3150, Площа: 144 м², Кімнат: 2, Зображення: images/voluptatibus.jpg
I, [2024-11-06T11:02:43.460028 #50492]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Suite 249 1591 Dibbert Mall, Nienowton, PA 70688
I, [2024-11-06T11:02:43.460354 #50492]  INFO -- : Added item: Оренда: Ціна: 8486 грн, Адреса: Suite 249 1591 Dibbert Mall, Nienowton, PA 70688, Площа: 68 м², Кімнат: 3, Зображення: images/maxime.jpg
I, [2024-11-06T11:02:43.461494 #50492]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Suite 697 128 Wisoky Spring, MacGyverchester, SC 34014-8047
I, [2024-11-06T11:02:43.461810 #50492]  INFO -- : Added item: Оренда: Ціна: 19623 грн, Адреса: Suite 697 128 Wisoky Spring, MacGyverchester, SC 34014-8047, Площа: 138 м², Кімнат: 1, Зображення: images/non.jpg
I, [2024-11-06T11:02:43.463102 #50492]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Suite 491 330 Hamill Springs, Reillyburgh, TX 10385-2411
I, [2024-11-06T11:02:43.463450 #50492]  INFO -- : Added item: Оренда: Ціна: 7188 грн, Адреса: Suite 491 330 Hamill Springs, Reillyburgh, TX 10385-2411, Площа: 187 м², Кімнат: 2, Зображення: images/minima.jpg
I, [2024-11-06T11:02:43.465157 #50492]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою 82478 Carter Flats, Funkhaven, MI 69817-2588
I, [2024-11-06T11:02:43.465708 #50492]  INFO -- : Added item: Оренда: Ціна: 13643 грн, Адреса: 82478 Carter Flats, Funkhaven, MI 69817-2588, Площа: 191 м², Кімнат: 4, Зображення: images/nesciunt.jpg
I, [2024-11-06T11:02:43.465961 #50492]  INFO -- : Generated 10 test items
I, [2024-11-06T11:02:43.473407 #50492]  INFO -- : Saved items to output/items.txt
I, [2024-11-06T11:02:43.473857 #50492]  INFO -- : Saved items to output/items.csv
I, [2024-11-06T11:02:43.474139 #50492]  INFO -- : Saved items to output/items.json
I, [2024-11-06T11:02:43.489260 #50492]  INFO -- : Saved items to output/items_yml as YAML files
>>>>>>> 4882c6753e9425447513e0dcfb875fb05f7c651a
I, [2024-11-11T15:45:57.271709 #8728]  INFO -- : Application started
I, [2024-11-11T15:45:57.274763 #8728]  INFO -- : Initialized Cart instance with output directory: output
I, [2024-11-11T15:46:01.208657 #8728]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Полєтаєва вул., 15
I, [2024-11-11T15:46:01.210879 #8728]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Пожарського вул., 18
I, [2024-11-11T15:46:01.213423 #8728]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Олександра Петрищука вул. (Суворова), 2а
I, [2024-11-11T15:46:01.216374 #8728]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Володимира Великого, 2-В
I, [2024-11-11T15:46:01.218778 #8728]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Головна, 63-24
I, [2024-11-11T15:46:01.221763 #8728]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Пилипа Орлика вул. (Гайдара), 9
I, [2024-11-11T15:46:01.224542 #8728]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Чорновола, 7
I, [2024-11-11T15:46:01.227695 #8728]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Науки, 6
I, [2024-11-11T15:46:01.230262 #8728]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Будівельників, 28
I, [2024-11-11T15:46:01.233365 #8728]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Головна, 189
I, [2024-11-11T15:46:01.236428 #8728]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Олександра Петрищука вул. (Суворова), 2 б
I, [2024-11-11T15:46:01.239466 #8728]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Ярослава Осмомисла вул. (Карамзіна), 8
I, [2024-11-11T15:46:01.242728 #8728]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Щербанюка, 15
I, [2024-11-11T15:46:01.245616 #8728]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Щербанюка, 79
I, [2024-11-11T15:46:01.248160 #8728]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Герцена вул., 91
I, [2024-11-11T15:46:01.251253 #8728]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Полтавська вул., 1
I, [2024-11-11T15:46:01.254369 #8728]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Святошинська, 1
I, [2024-11-11T15:46:01.257270 #8728]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Чернівці, Франка, 7
I, [2024-11-11T15:46:01.260062 #8728]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Шухевича, 9
I, [2024-11-11T15:46:01.262998 #8728]  INFO -- : Ініціалізовано об'єкт RentalItem з адресою Міцкевича вул., 8
I, [2024-11-11T15:46:01.263204 #8728]  INFO -- : Added item: Оренда: Ціна: 350 $/міс грн, Адреса: Полєтаєва вул., 15, Площа: N/A м², Кімнат: 2 кімнати, Зображення: N/A
I, [2024-11-11T15:46:01.263364 #8728]  INFO -- : Added item: Оренда: Ціна: 500 $/міс грн, Адреса: Пожарського вул., 18, Площа: N/A м², Кімнат: 2 кімнати, Зображення: N/A
I, [2024-11-11T15:46:01.263556 #8728]  INFO -- : Added item: Оренда: Ціна: 650 €/міс грн, Адреса: Олександра Петрищука вул. (Суворова), 2а, Площа: N/A м², Кімнат: 1 кімната, Зображення: N/A
I, [2024-11-11T15:46:01.263694 #8728]  INFO -- : Added item: Оренда: Ціна: 750 $/міс грн, Адреса: Володимира Великого, 2-В, Площа: N/A м², Кімнат: 2 кімнати, Зображення: N/A
I, [2024-11-11T15:46:01.263830 #8728]  INFO -- : Added item: Оренда: Ціна: 210 $/міс грн, Адреса: Головна, 63-24, Площа: N/A м², Кімнат: 2 кімнати, Зображення: N/A
I, [2024-11-11T15:46:01.264110 #8728]  INFO -- : Added item: Оренда: Ціна: 300 $/міс грн, Адреса: Пилипа Орлика вул. (Гайдара), 9, Площа: N/A м², Кімнат: 2 кімнати, Зображення: N/A
I, [2024-11-11T15:46:01.264359 #8728]  INFO -- : Added item: Оренда: Ціна: 450 $/міс грн, Адреса: Чорновола, 7, Площа: N/A м², Кімнат: 2 кімнати, Зображення: N/A
I, [2024-11-11T15:46:01.264535 #8728]  INFO -- : Added item: Оренда: Ціна: 600 $/міс грн, Адреса: Науки, 6, Площа: N/A м², Кімнат: 2 кімнати, Зображення: N/A
I, [2024-11-11T15:46:01.264711 #8728]  INFO -- : Added item: Оренда: Ціна: 400 $/міс грн, Адреса: Будівельників, 28, Площа: N/A м², Кімнат: 3 кімнати, Зображення: N/A
I, [2024-11-11T15:46:01.264889 #8728]  INFO -- : Added item: Оренда: Ціна: 250 $/міс грн, Адреса: Головна, 189, Площа: N/A м², Кімнат: 2 кімнати, Зображення: N/A
I, [2024-11-11T15:46:01.265078 #8728]  INFO -- : Added item: Оренда: Ціна: 350 $/міс грн, Адреса: Олександра Петрищука вул. (Суворова), 2 б, Площа: N/A м², Кімнат: 2 кімнати, Зображення: N/A
I, [2024-11-11T15:46:01.265264 #8728]  INFO -- : Added item: Оренда: Ціна: 8 500 грн/міс грн, Адреса: Ярослава Осмомисла вул. (Карамзіна), 8, Площа: N/A м², Кімнат: 2 кімнати, Зображення: N/A
I, [2024-11-11T15:46:01.265538 #8728]  INFO -- : Added item: Оренда: Ціна: 270 $/міс грн, Адреса: Щербанюка, 15, Площа: N/A м², Кімнат: 2 кімнати, Зображення: N/A
I, [2024-11-11T15:46:01.265732 #8728]  INFO -- : Added item: Оренда: Ціна: 650 $/міс грн, Адреса: Щербанюка, 79, Площа: N/A м², Кімнат: 1 кімната, Зображення: N/A
I, [2024-11-11T15:46:01.265897 #8728]  INFO -- : Added item: Оренда: Ціна: 600 $/міс грн, Адреса: Герцена вул., 91, Площа: N/A м², Кімнат: 3 кімнати, Зображення: N/A
I, [2024-11-11T15:46:01.266170 #8728]  INFO -- : Added item: Оренда: Ціна: 250 $/міс грн, Адреса: Полтавська вул., 1, Площа: N/A м², Кімнат: 2 кімнати, Зображення: N/A
I, [2024-11-11T15:46:01.266281 #8728]  INFO -- : Added item: Оренда: Ціна: 1 000 $/міс грн, Адреса: Святошинська, 1, Площа: N/A м², Кімнат: 4 кімнати, Зображення: N/A
I, [2024-11-11T15:46:01.266395 #8728]  INFO -- : Added item: Оренда: Ціна: 300 $/міс грн, Адреса: Чернівці, Франка, 7, Площа: N/A м², Кімнат: 2 кімнати, Зображення: N/A
I, [2024-11-11T15:46:01.266596 #8728]  INFO -- : Added item: Оренда: Ціна: 350 $/міс грн, Адреса: Шухевича, 9, Площа: N/A м², Кімнат: 2 кімнати, Зображення: N/A
